,timestamp,symbol,open,high,low,close,trades,volume,vwap,lastSize,turnover,homeNotional,foreignNotional
0,2019-03-01 12:20:00+00:00,XBTUSD,3806.5,3807.0,3806.5,3806.5,171,491889,3806.7684,12500,12921608255,129.21608255,491889.0
6,2019-03-01 12:50:00+00:00,XBTUSD,3807.0,3807.0,3806.5,3806.5,354,1095170,3806.7684,9,28769812822,287.69812821999994,1095170.0
12,2019-03-01 13:20:00+00:00,XBTUSD,3803.5,3806.5,3803.5,3806.0,717,1720800,3804.5959999999995,7,45229728869,452.29728869,1720800.0
18,2019-03-01 13:50:00+00:00,XBTUSD,3809.5,3811.5,3809.0,3811.5,1059,1742128,3810.54,200,45719257771,457.19257771,1742128.0
24,2019-03-01 14:20:00+00:00,XBTUSD,3811.0,3811.5,3811.0,3811.0,467,887003,3811.4114,2,23272484192,232.72484192,887003.0
30,2019-03-01 14:50:00+00:00,XBTUSD,3814.0,3814.0,3813.5,3813.5,378,145227,3814.028,5,3807772489,38.07772488999999,145227.0
36,2019-03-01 15:20:00+00:00,XBTUSD,3813.5,3814.0,3813.5,3814.0,539,820316,3813.7371,4,21510267728,215.10267728,820316.0
42,2019-03-01 15:50:00+00:00,XBTUSD,3814.0,3814.0,3813.5,3813.5,501,497572,3814.028,5,13046007980,130.4600798,497572.0
48,2019-03-01 16:20:00+00:00,XBTUSD,3821.0,3824.0,3820.5,3824.0,2251,7744295,3822.3377,6,202606312202,2026.0631220200012,7744295.0
54,2019-03-01 16:50:00+00:00,XBTUSD,3823.5,3833.5,3823.5,3829.5,4423,12408941,3828.6305,1000,324113983662,3241.139836620001,12408941.0
60,2019-03-01 17:20:00+00:00,XBTUSD,3827.0,3832.5,3826.5,3830.5,2001,4777071,3830.0969,11,124728567593,1247.2856759299998,4777071.0
66,2019-03-01 17:50:00+00:00,XBTUSD,3838.5,3839.0,3832.5,3836.0,2093,6672563,3835.9738,2000,173950541014,1739.50541014,6672563.0
72,2019-03-01 18:20:00+00:00,XBTUSD,3826.5,3831.5,3826.5,3831.0,1176,4207373,3828.1908,5,109908115225,1099.0811522500003,4207373.0
78,2019-03-01 18:50:00+00:00,XBTUSD,3827.0,3828.0,3826.5,3828.0,639,1520464,3826.8723,1,39732223523,397.3222352299998,1520464.0
84,2019-03-01 19:20:00+00:00,XBTUSD,3827.0,3827.0,3826.5,3826.5,334,1033961,3826.5794,1,27021223590,270.21223589999994,1033961.0
90,2019-03-01 19:50:00+00:00,XBTUSD,3826.5,3827.0,3824.5,3825.0,866,2489001,3825.5547,196,65064290765,650.6429076499999,2489001.0
96,2019-03-01 20:20:00+00:00,XBTUSD,3824.5,3826.0,3824.0,3826.0,940,2754088,3824.9694,25,72003494877,720.0349487700003,2754088.0
102,2019-03-01 20:50:00+00:00,XBTUSD,3829.0,3829.0,3828.5,3828.5,103,123821,3828.6305,1,3234144020,32.3414402,123821.0
108,2019-03-01 21:20:00+00:00,XBTUSD,3828.5,3829.0,3828.0,3828.5,413,659623,3828.4839,1,17229754229,172.29754229,659623.0
114,2019-03-01 21:50:00+00:00,XBTUSD,3829.5,3830.0,3829.0,3829.5,337,1149068,3829.5102,3187,30006736910,300.06736909999995,1149068.0
120,2019-03-01 22:20:00+00:00,XBTUSD,3795.0,3825.0,3795.0,3818.5,3841,13298213,3817.8139,317,348325335959,3483.2533595900013,13298213.0
126,2019-03-01 22:50:00+00:00,XBTUSD,3816.5,3816.0,3811.0,3812.0,2301,6349258,3812.8646,2,166523634078,1665.2363407800005,6349258.0
132,2019-03-01 23:20:00+00:00,XBTUSD,3805.0,3811.0,3804.5,3810.5,1306,2499834,3807.6381,31,65654866613,656.54866613,2499834.0
138,2019-03-01 23:50:00+00:00,XBTUSD,3810.5,3810.5,3806.5,3807.5,953,1668639,3808.5082,300,43814415728,438.14415728000006,1668639.0
144,2019-03-02 00:20:00+00:00,XBTUSD,3806.5,3807.0,3806.5,3807.0,61,115305,3806.7684,1,3028986467,30.289864670000004,115305.0
150,2019-03-02 00:50:00+00:00,XBTUSD,3809.5,3809.5,3809.0,3809.0,149,161505,3809.5238,1,4239626958,42.39626958,161505.0
156,2019-03-02 01:20:00+00:00,XBTUSD,3806.5,3807.0,3806.5,3806.5,150,306535,3806.7684,20,8052457321,80.52457321,306535.0
162,2019-03-02 01:50:00+00:00,XBTUSD,3808.0,3809.5,3807.5,3809.5,367,721660,3808.7983,5,18947772856,189.47772856,721660.0
168,2019-03-02 02:20:00+00:00,XBTUSD,3810.5,3811.0,3810.5,3811.0,70,194173,3810.9756,20,5095196039,50.95196038999999,194173.0
174,2019-03-02 02:50:00+00:00,XBTUSD,3811.5,3812.0,3811.0,3811.5,205,362672,3811.4114,100,9515486605,95.15486605,362672.0
180,2019-03-02 03:20:00+00:00,XBTUSD,3812.0,3813.0,3812.0,3813.0,529,1590031,3812.4285,390,41707119589,417.07119588999984,1590031.0
186,2019-03-02 03:50:00+00:00,XBTUSD,3812.0,3812.0,3811.5,3812.0,197,413246,3811.7019,1,10841688920,108.4168892,413246.0
192,2019-03-02 04:20:00+00:00,XBTUSD,3809.0,3809.0,3808.5,3808.5,218,740231,3808.6533,1,19435951709,194.35951708999997,740231.0
198,2019-03-02 04:50:00+00:00,XBTUSD,3791.0,3799.0,3790.0,3797.5,2308,9591232,3795.2104,1000,252728931303,2527.289313030001,9591232.0
204,2019-03-02 05:20:00+00:00,XBTUSD,3801.0,3804.0,3800.5,3803.5,1089,2657533,3802.1368,100,69896781930,698.9678193000003,2657533.0
210,2019-03-02 05:50:00+00:00,XBTUSD,3800.5,3801.0,3800.0,3800.5,412,485039,3800.6917,100,12762091724,127.62091723999998,485039.0
216,2019-03-02 06:20:00+00:00,XBTUSD,3801.0,3801.5,3801.0,3801.0,235,278172,3801.5586,4,7317393708,73.17393708000002,278172.0
222,2019-03-02 06:50:00+00:00,XBTUSD,3802.5,3802.5,3802.0,3802.5,336,731608,3802.1368,8,19242093768,192.42093768,731608.0
228,2019-03-02 07:20:00+00:00,XBTUSD,3799.5,3799.5,3799.0,3799.5,238,553364,3799.3921,13,14564773164,145.64773164000005,553364.0
234,2019-03-02 07:50:00+00:00,XBTUSD,3796.5,3796.5,3791.5,3793.5,1578,4033917,3793.0511,4162,106351484626,1063.51484626,4033917.0
240,2019-03-02 08:20:00+00:00,XBTUSD,3787.0,3787.0,3771.0,3774.5,2686,6125268,3780.1467,200,162040076327,1620.40076327,6125268.0
246,2019-03-02 08:50:00+00:00,XBTUSD,3792.0,3800.0,3792.0,3797.5,2805,7917185,3796.9397,8,208519176407,2085.1917640700008,7917185.0
252,2019-03-02 09:20:00+00:00,XBTUSD,3798.5,3800.0,3798.5,3800.0,518,1176025,3799.5365,4,30952227585,309.52227585000014,1176025.0
258,2019-03-02 09:50:00+00:00,XBTUSD,3797.0,3797.0,3794.5,3795.0,920,1661645,3795.3545,8,43781145063,437.81145063000037,1661645.0
264,2019-03-02 10:20:00+00:00,XBTUSD,3794.5,3794.5,3793.5,3794.0,750,934767,3794.2025,3,24636920145,246.36920145000008,934767.0
270,2019-03-02 10:50:00+00:00,XBTUSD,3795.0,3795.5,3794.0,3794.5,534,969947,3795.2104,2,25558009858,255.58009858,969947.0
276,2019-03-02 11:20:00+00:00,XBTUSD,3804.0,3809.5,3803.5,3809.0,1978,5056462,3806.9134,5,132823382297,1328.23382297,5056462.0
282,2019-03-02 11:50:00+00:00,XBTUSD,3814.0,3815.5,3814.0,3814.5,609,2006963,3815.0465,4,52608304675,526.0830467500001,2006963.0
288,2019-03-02 12:20:00+00:00,XBTUSD,3811.5,3811.5,3805.0,3805.0,2130,3925258,3807.6381,4,103090503762,1030.90503762,3925258.0
294,2019-03-02 12:50:00+00:00,XBTUSD,3813.5,3813.5,3811.0,3811.5,521,1457949,3812.8646,11,38238471110,382.3847111000002,1457949.0
300,2019-03-02 13:20:00+00:00,XBTUSD,3815.0,3815.0,3812.5,3812.5,805,1874977,3814.028,1,49160646643,491.60646642999984,1874977.0
306,2019-03-02 13:50:00+00:00,XBTUSD,3811.5,3811.5,3811.0,3811.0,342,644059,3811.1209,8,16899705192,168.99705192000005,644059.0
312,2019-03-02 14:20:00+00:00,XBTUSD,3808.5,3809.0,3807.5,3808.0,372,504969,3808.2181,50,13260440182,132.60440182000002,504969.0
318,2019-03-02 14:50:00+00:00,XBTUSD,3807.0,3807.0,3806.5,3807.0,66,88395,3806.9134,557,2321982269,23.21982269,88395.0
324,2019-03-02 15:20:00+00:00,XBTUSD,3803.5,3805.5,3803.5,3805.0,487,1024748,3804.8855,1,26933124368,269.33124368000006,1024748.0
330,2019-03-02 15:50:00+00:00,XBTUSD,3804.5,3805.0,3802.0,3803.0,621,1708400,3803.2937,43,44919339403,449.19339403,1708400.0
336,2019-03-02 16:20:00+00:00,XBTUSD,3794.5,3799.5,3794.5,3799.5,1230,3180120,3797.6606,1000,83739226987,837.3922698700003,3180120.0
342,2019-03-02 16:50:00+00:00,XBTUSD,3806.0,3806.0,3805.5,3806.0,205,307194,3805.7543,1,8071919224,80.71919224,307194.0
348,2019-03-02 17:20:00+00:00,XBTUSD,3801.0,3801.0,3800.0,3800.0,506,1675950,3800.4028,1,44099338163,440.99338163,1675950.0
354,2019-03-02 17:50:00+00:00,XBTUSD,3798.5,3799.0,3798.5,3798.5,192,346698,3798.6705,3113,9126992673,91.26992673,346698.0
360,2019-03-02 18:20:00+00:00,XBTUSD,3797.0,3799.0,3797.0,3799.0,429,1004104,3797.9491,2,26439005994,264.39005994000007,1004104.0
366,2019-03-02 18:50:00+00:00,XBTUSD,3803.5,3803.5,3803.0,3803.5,142,253526,3803.1490000000003,2000,6666356775,66.66356774999998,253526.0
372,2019-03-02 19:20:00+00:00,XBTUSD,3802.0,3802.5,3801.5,3802.5,263,419049,3802.4259,1000,11020902705,110.20902705000002,419049.0
378,2019-03-02 19:50:00+00:00,XBTUSD,3801.0,3803.0,3799.5,3803.0,677,1293016,3801.2696,411,34015657855,340.15657855000006,1293016.0
384,2019-03-02 20:20:00+00:00,XBTUSD,3800.5,3800.5,3800.0,3800.5,199,190464,3800.5473,945,5011536240,50.1153624,190464.0
390,2019-03-02 20:50:00+00:00,XBTUSD,3800.5,3800.5,3798.0,3799.5,858,1873031,3799.5365,2,49297268660,492.97268659999986,1873031.0
396,2019-03-02 21:20:00+00:00,XBTUSD,3800.0,3807.0,3800.0,3807.0,1683,5009986,3804.8855,2,131674842243,1316.74842243,5009986.0
402,2019-03-02 21:50:00+00:00,XBTUSD,3806.5,3806.5,3806.0,3806.5,178,198631,3806.4786,1,5218377624,52.18377624,198631.0
408,2019-03-02 22:20:00+00:00,XBTUSD,3805.0,3805.0,3804.5,3805.0,104,124400,3804.7407,2,3269669892,32.69669892,124400.0
414,2019-03-02 22:50:00+00:00,XBTUSD,3806.5,3808.5,3806.5,3808.0,781,2312947,3807.7831,100,60743527610,607.4352761000001,2312947.0
420,2019-03-02 23:20:00+00:00,XBTUSD,3807.0,3807.0,3806.0,3806.0,257,473926,3806.4786,1,12450510196,124.50510196000002,473926.0
426,2019-03-02 23:50:00+00:00,XBTUSD,3805.5,3808.5,3805.5,3808.5,583,2724511,3806.9134,1,71567494067,715.67494067,2724511.0
432,2019-03-03 00:20:00+00:00,XBTUSD,3810.0,3813.0,3809.5,3811.5,802,1878674,3811.7019,43,49287928202,492.87928202,1878674.0
438,2019-03-03 00:50:00+00:00,XBTUSD,3809.5,3810.5,3809.5,3810.0,438,640340,3810.1044,1,16806561970,168.06561969999998,640340.0
444,2019-03-03 01:20:00+00:00,XBTUSD,3812.5,3814.0,3812.0,3814.0,591,1145078,3813.4462,5,30028449031,300.28449031,1145078.0
450,2019-03-03 01:50:00+00:00,XBTUSD,3811.0,3811.5,3811.0,3811.5,134,101428,3811.4114,1,2661212776,26.61212776,101428.0
456,2019-03-03 02:20:00+00:00,XBTUSD,3810.0,3810.0,3808.0,3808.0,656,1166111,3808.9434,4,30615372543,306.15372543,1166111.0
462,2019-03-03 02:50:00+00:00,XBTUSD,3808.0,3808.5,3806.5,3806.5,1004,715629,3807.6381,6,18795260887,187.95260887000006,715629.0
468,2019-03-03 03:20:00+00:00,XBTUSD,3806.5,3806.5,3805.0,3805.0,726,836596,3806.0440000000003,1,21981415077,219.81415077,836596.0
474,2019-03-03 03:50:00+00:00,XBTUSD,3804.0,3804.5,3804.0,3804.0,427,303601,3804.4512,9,7980244112,79.80244112000003,303601.0
480,2019-03-03 04:20:00+00:00,XBTUSD,3808.0,3809.0,3808.0,3809.0,659,835218,3808.7983,1,21929065712,219.29065712000008,835218.0
486,2019-03-03 04:50:00+00:00,XBTUSD,3807.0,3807.0,3806.5,3807.0,447,323935,3806.7684,7,8509719733,85.09719733000001,323935.0
492,2019-03-03 05:20:00+00:00,XBTUSD,3804.0,3805.0,3803.5,3804.5,643,846773,3804.3065,1,22258779365,222.58779364999995,846773.0
498,2019-03-03 05:50:00+00:00,XBTUSD,3805.5,3806.0,3805.5,3806.0,309,247956,3805.6095,4,6515778292,65.15778292000002,247956.0
504,2019-03-03 06:20:00+00:00,XBTUSD,3805.5,3806.0,3805.5,3805.5,208,197451,3805.7543,1,5188241486,51.88241486,197451.0
510,2019-03-03 06:50:00+00:00,XBTUSD,3806.5,3806.5,3806.0,3806.0,114,94709,3806.4786,3,2488120587,24.88120587,94709.0
516,2019-03-03 07:20:00+00:00,XBTUSD,3806.0,3806.5,3805.0,3805.5,554,1324023,3805.6095,1,34791639310,347.91639310000005,1324023.0
522,2019-03-03 07:50:00+00:00,XBTUSD,3805.0,3805.5,3805.0,3805.5,278,219416,3805.3198,1,5766060221,57.66060221000002,219416.0
